,,"All values, costs, and indexes are in current dollars (nominals)",,,,,
MINNEAPOLISSTPAUL,1995Q4,"$134,805","$109,818","$24,987",18.5%,0.728,0.388
MINNEAPOLISSTPAUL,1996Q1,"$136,172","$110,733","$25,439",18.7%,0.735,0.396
MINNEAPOLISSTPAUL,1996Q2,"$136,722","$111,107","$25,616",18.7%,0.738,0.399
MINNEAPOLISSTPAUL,1996Q3,"$138,812","$111,237","$27,575",19.9%,0.749,0.431
MINNEAPOLISSTPAUL,1996Q4,"$140,724","$111,442","$29,282",20.8%,0.760,0.459
MINNEAPOLISSTPAUL,1997Q1,"$141,967","$111,957","$30,010",21.1%,0.766,0.472
MINNEAPOLISSTPAUL,1997Q2,"$142,529","$112,709","$29,820",20.9%,0.769,0.470
MINNEAPOLISSTPAUL,1997Q3,"$145,661","$113,551","$32,110",22.0%,0.786,0.508
MINNEAPOLISSTPAUL,1997Q4,"$146,128","$114,318","$31,810",21.8%,0.789,0.505
MINNEAPOLISSTPAUL,1998Q1,"$148,028","$114,931","$33,097",22.4%,0.799,0.528
MINNEAPOLISSTPAUL,1998Q2,"$150,633","$115,420","$35,212",23.4%,0.813,0.564
MINNEAPOLISSTPAUL,1998Q3,"$153,308","$115,940","$37,368",24.4%,0.828,0.601
MINNEAPOLISSTPAUL,1998Q4,"$156,706","$116,621","$40,085",25.6%,0.846,0.647
MINNEAPOLISSTPAUL,1999Q1,"$160,861","$117,584","$43,277",26.9%,0.868,0.701
MINNEAPOLISSTPAUL,1999Q2,"$165,111","$118,744","$46,367",28.1%,0.891,0.753
MINNEAPOLISSTPAUL,1999Q3,"$169,941","$120,061","$49,880",29.4%,0.917,0.813
MINNEAPOLISSTPAUL,1999Q4,"$175,535","$121,473","$54,062",30.8%,0.947,0.883
MINNEAPOLISSTPAUL,2000Q1,"$179,229","$122,761","$56,468",31.5%,0.967,0.922
MINNEAPOLISSTPAUL,2000Q2,"$185,266","$124,204","$61,062",33.0%,1.000,1.000
MINNEAPOLISSTPAUL,2000Q3,"$190,730","$125,579","$65,151",34.2%,1.029,1.071
MINNEAPOLISSTPAUL,2000Q4,"$196,826","$126,814","$70,012",35.6%,1.062,1.156
MINNEAPOLISSTPAUL,2001Q1,"$203,764","$128,191","$75,572",37.1%,1.100,1.259
MINNEAPOLISSTPAUL,2001Q2,"$210,269","$129,151","$81,118",38.6%,1.135,1.357
MINNEAPOLISSTPAUL,2001Q3,"$216,987","$130,206","$86,781",40.0%,1.171,1.457
MINNEAPOLISSTPAUL,2001Q4,"$222,184","$131,565","$90,619",40.8%,1.199,1.525
MINNEAPOLISSTPAUL,2002Q1,"$225,831","$133,122","$92,709",41.1%,1.219,1.559
MINNEAPOLISSTPAUL,2002Q2,"$231,093","$135,167","$95,926",41.5%,1.247,1.616
MINNEAPOLISSTPAUL,2002Q3,"$236,456","$137,131","$99,325",42.0%,1.276,1.677
MINNEAPOLISSTPAUL,2002Q4,"$242,274","$138,667","$103,608",42.8%,1.308,1.752
MINNEAPOLISSTPAUL,2003Q1,"$248,294","$139,656","$108,638",43.8%,1.340,1.843
MINNEAPOLISSTPAUL,2003Q2,"$252,367","$140,307","$112,059",44.4%,1.362,1.905
MINNEAPOLISSTPAUL,2003Q3,"$257,161","$141,252","$115,909",45.1%,1.388,1.974
MINNEAPOLISSTPAUL,2003Q4,"$262,672","$143,044","$119,627",45.5%,1.418,2.040
MINNEAPOLISSTPAUL,2004Q1,"$268,763","$146,009","$122,754",45.7%,1.451,2.096
MINNEAPOLISSTPAUL,2004Q2,"$275,600","$149,840","$125,760",45.6%,1.488,2.151
MINNEAPOLISSTPAUL,2004Q3,"$278,885","$153,899","$124,986",44.8%,1.505,2.141
MINNEAPOLISSTPAUL,2004Q4,"$282,194","$157,593","$124,600",44.2%,1.523,2.137
MINNEAPOLISSTPAUL,2005Q1,"$288,764","$160,455","$128,309",44.4%,1.559,2.203
MINNEAPOLISSTPAUL,2005Q2,"$293,393","$162,794","$130,598",44.5%,1.584,2.246
MINNEAPOLISSTPAUL,2005Q3,"$293,665","$164,947","$128,718",43.8%,1.585,2.218
MINNEAPOLISSTPAUL,2005Q4,"$298,643","$167,307","$131,337",44.0%,1.612,2.267
MINNEAPOLISSTPAUL,2006Q1,"$304,148","$170,115","$134,033",44.1%,1.642,2.317
MINNEAPOLISSTPAUL,2006Q2,"$306,628","$173,183","$133,446",43.5%,1.655,2.312
MINNEAPOLISSTPAUL,2006Q3,"$298,951","$176,111","$122,840",41.1%,1.614,2.133
MINNEAPOLISSTPAUL,2006Q4,"$297,465","$178,569","$118,896",40.0%,1.606,2.069
MINNEAPOLISSTPAUL,2007Q1,"$300,887","$180,472","$120,415",40.0%,1.624,2.103
MINNEAPOLISSTPAUL,2007Q2,"$297,246","$181,879","$115,367",38.8%,1.604,2.019
MINNEAPOLISSTPAUL,2007Q3,"$286,444","$183,399","$103,045",36.0%,1.546,1.807
MINNEAPOLISSTPAUL,2007Q4,"$277,926","$185,552","$92,374",33.2%,1.500,1.623
MINNEAPOLISSTPAUL,2008Q1,"$265,241","$188,637","$76,604",28.9%,1.432,1.348
MINNEAPOLISSTPAUL,2008Q2,"$254,480","$192,193","$62,286",24.5%,1.374,1.097
MINNEAPOLISSTPAUL,2008Q3,"$246,074","$195,546","$50,528",20.5%,1.328,0.891
MINNEAPOLISSTPAUL,2008Q4,"$229,945","$198,008","$31,936",13.9%,1.241,0.564
MINNEAPOLISSTPAUL,2009Q1,"$209,920","$199,111","$10,809",5.1%,1.133,0.191
MINNEAPOLISSTPAUL,2009Q2,"$201,041","$190,989","$10,052",5.0%,1.085,0.032
MINNEAPOLISSTPAUL,2009Q3,"$211,293","$190,685","$20,608",9.8%,1.140,0.066
MINNEAPOLISSTPAUL,2009Q4,"$216,987","$190,485","$26,502",12.2%,1.171,0.084
MINNEAPOLISSTPAUL,2010Q1,"$218,544","$190,743","$27,801",12.7%,1.180,0.088
MINNEAPOLISSTPAUL,2010Q2,"$222,528","$191,617","$30,910",13.9%,1.201,0.098
MINNEAPOLISSTPAUL,2010Q3,"$216,265","$192,914","$23,351",10.8%,1.167,0.074
MINNEAPOLISSTPAUL,2010Q4,"$208,754","$194,503","$14,250",6.8%,1.127,0.045
MINNEAPOLISSTPAUL,2011Q1,"$200,123","$190,117","$10,006",5.0%,1.080,0.012
MINNEAPOLISSTPAUL,2011Q2,"$197,057","$187,204","$9,853",5.0%,1.064,0.012
MINNEAPOLISSTPAUL,2011Q3,"$199,555","$188,668","$10,887",5.5%,1.077,0.013
MINNEAPOLISSTPAUL,2011Q4,"$199,064","$189,111","$9,953",5.0%,1.074,0.011
MINNEAPOLISSTPAUL,2012Q1,"$201,686","$189,658","$12,028",6.0%,1.089,0.014
MINNEAPOLISSTPAUL,2012Q2,"$205,764","$189,909","$15,855",7.7%,1.111,0.018
MINNEAPOLISSTPAUL,2012Q3,"$214,987","$190,157","$24,830",11.5%,1.160,0.029
MINNEAPOLISSTPAUL,2012Q4,"$220,894","$190,666","$30,228",13.7%,1.192,0.035
MINNEAPOLISSTPAUL,2013Q1,"$226,701","$191,643","$35,058",15.5%,1.224,0.041
MINNEAPOLISSTPAUL,2013Q2,"$232,235","$192,853","$39,383",17.0%,1.254,0.046
MINNEAPOLISSTPAUL,2013Q3,"$236,959","$194,031","$42,928",18.1%,1.279,0.050
MINNEAPOLISSTPAUL,2013Q4,"$244,790","$194,904","$49,886",20.4%,1.321,0.058
MINNEAPOLISSTPAUL,2014Q1,"$248,791","$195,270","$53,521",21.5%,1.343,0.063
MINNEAPOLISSTPAUL,2014Q2,"$249,656","$195,406","$54,249",21.7%,1.348,0.064
MINNEAPOLISSTPAUL,2014Q3,"$247,531","$195,646","$51,885",21.0%,1.336,0.061
MINNEAPOLISSTPAUL,2014Q4,"$249,431","$196,349","$53,081",21.3%,1.346,0.063
MINNEAPOLISSTPAUL,2015Q1,"$254,628","$197,677","$56,950",22.4%,1.374,0.067
MINNEAPOLISSTPAUL,2015Q2,"$256,575","$199,332","$57,244",22.3%,1.385,0.068
MINNEAPOLISSTPAUL,2015Q3,"$257,031","$200,712","$56,319",21.9%,1.387,0.067
MINNEAPOLISSTPAUL,2015Q4,"$260,772","$201,277","$59,495",22.8%,1.408,0.070
MINNEAPOLISSTPAUL,2016Q1,"$264,685","$200,762","$63,922",24.2%,1.429,0.076
MINNEAPOLISSTPAUL,2016Q2,"$268,615","$199,355","$69,259",25.8%,1.450,0.082
MINNEAPOLISSTPAUL,2016Q3,"$270,687","$197,747","$72,939",26.9%,1.461,0.087
MINNEAPOLISSTPAUL,2016Q4,"$275,102","$196,546","$78,557",28.6%,1.485,0.094
MINNEAPOLISSTPAUL,2017Q1,"$280,868","$196,100","$84,767",30.2%,1.516,0.101
MINNEAPOLISSTPAUL,2017Q2,"$284,484","$196,557","$87,928",30.9%,1.536,0.105
MINNEAPOLISSTPAUL,2017Q3,"$286,527","$197,545","$88,981",31.1%,1.547,0.107
MINNEAPOLISSTPAUL,2017Q4,"$289,966","$198,811","$91,155",31.4%,1.565,0.109
MINNEAPOLISSTPAUL,2018Q1,"$297,282","$202,114","$95,168",32.0%,1.605,0.114
MINNEAPOLISSTPAUL,2018Q2,"$302,739","$205,594","$97,145",32.1%,1.634,0.117
NEWORLEANS,1984Q4,"$86,595","$59,171","$27,423",31.7%,0.693,0.583
NEWORLEANS,1985Q1,"$86,473","$59,309","$27,164",31.4%,0.692,0.579
NEWORLEANS,1985Q2,"$87,351","$59,486","$27,866",31.9%,0.699,0.594
NEWORLEANS,1985Q3,"$86,149","$59,726","$26,423",30.7%,0.690,0.564
NEWORLEANS,1985Q4,"$85,032","$60,052","$24,979",29.4%,0.681,0.534
NEWORLEANS,1986Q1,"$86,133","$60,515","$25,618",29.7%,0.690,0.549
NEWORLEANS,1986Q2,"$86,742","$60,964","$25,779",29.7%,0.695,0.552
NEWORLEANS,1986Q3,"$84,417","$61,374","$23,044",27.3%,0.676,0.494
NEWORLEANS,1986Q4,"$83,733","$61,682","$22,051",26.3%,0.670,0.472
NEWORLEANS,1987Q1,"$84,622","$61,786","$22,836",27.0%,0.678,0.486
NEWORLEANS,1987Q2,"$84,610","$61,861","$22,748",26.9%,0.678,0.484
NEWORLEANS,1987Q3,"$82,005","$61,921","$20,084",24.5%,0.657,0.426
NEWORLEANS,1987Q4,"$81,377","$62,025","$19,351",23.8%,0.652,0.410
NEWORLEANS,1988Q1,"$80,986","$62,226","$18,760",23.2%,0.648,0.398
NEWORLEANS,1988Q2,"$79,956","$62,486","$17,470",21.8%,0.640,0.370
NEWORLEANS,1988Q3,"$79,236","$62,771","$16,465",20.8%,0.634,0.349
NEWORLEANS,1988Q4,"$78,299","$63,040","$15,259",19.5%,0.627,0.323
NEWORLEANS,1989Q1,"$78,348","$63,286","$15,062",19.2%,0.627,0.319
NEWORLEANS,1989Q2,"$78,121","$63,472","$14,648",18.8%,0.626,0.310
NEWORLEANS,1989Q3,"$78,797","$63,645","$15,152",19.2%,0.631,0.320
NEWORLEANS,1989Q4,"$78,730","$63,829","$14,901",18.9%,0.630,0.314
NEWORLEANS,1990Q1,"$78,377","$63,997","$14,380",18.3%,0.628,0.302
NEWORLEANS,1990Q2,"$77,836","$64,241","$13,595",17.5%,0.623,0.285
NEWORLEANS,1990Q3,"$77,520","$64,490","$13,031",16.8%,0.621,0.273
NEWORLEANS,1990Q4,"$77,218","$64,718","$12,500",16.2%,0.618,0.262
NEWORLEANS,1991Q1,"$76,339","$64,924","$11,415",15.0%,0.611,0.240
NEWORLEANS,1991Q2,"$78,380","$65,087","$13,293",17.0%,0.628,0.280
NEWORLEANS,1991Q3,"$79,680","$65,246","$14,434",18.1%,0.638,0.304
NEWORLEANS,1991Q4,"$81,359","$65,425","$15,934",19.6%,0.651,0.337
NEWORLEANS,1992Q1,"$83,223","$65,693","$17,530",21.1%,0.666,0.372
NEWORLEANS,1992Q2,"$83,693","$65,928","$17,765",21.2%,0.670,0.378
NEWORLEANS,1992Q3,"$84,601","$66,178","$18,423",21.8%,0.677,0.392
NEWORLEANS,1992Q4,"$85,947","$66,438","$19,509",22.7%,0.688,0.414
NEWORLEANS,1993Q1,"$86,612","$66,634","$19,978",23.1%,0.694,0.422
NEWORLEANS,1993Q2,"$87,625","$66,928","$20,697",23.6%,0.702,0.437
NEWORLEANS,1993Q3,"$89,531","$67,247","$22,283",24.9%,0.717,0.470
NEWORLEANS,1993Q4,"$91,527","$67,589","$23,938",26.2%,0.733,0.505
NEWORLEANS,1994Q1,"$93,620","$67,956","$25,663",27.4%,0.750,0.542
NEWORLEANS,1994Q2,"$94,980","$68,353","$26,627",28.0%,0.761,0.563
NEWORLEANS,1994Q3,"$95,558","$68,794","$26,764",28.0%,0.765,0.566
NEWORLEANS,1994Q4,"$95,715","$69,292","$26,423",27.6%,0.766,0.560
NEWORLEANS,1995Q1,"$96,751","$69,916","$26,834",27.7%,0.775,0.571
NEWORLEANS,1995Q2,"$97,729","$70,491","$27,238",27.9%,0.783,0.581
NEWORLEANS,1995Q3,"$99,151","$71,049","$28,102",28.3%,0.794,0.600
NEWORLEANS,1995Q4,"$100,741","$71,556","$29,185",29.0%,0.807,0.624
NEWORLEANS,1996Q1,"$102,224","$71,932","$30,291",29.6%,0.819,0.646
NEWORLEANS,1996Q2,"$103,892","$72,316","$31,576",30.4%,0.832,0.674
NEWORLEANS,1996Q3,"$104,990","$72,667","$32,323",30.8%,0.841,0.690
NEWORLEANS,1996Q4,"$106,450","$72,999","$33,451",31.4%,0.852,0.715
NEWORLEANS,1997Q1,"$107,775","$73,331","$34,444",32.0%,0.863,0.737
NEWORLEANS,1997Q2,"$108,860","$73,656","$35,204",32.3%,0.872,0.754
NEWORLEANS,1997Q3,"$109,834","$73,982","$35,852",32.6%,0.879,0.769
NEWORLEANS,1997Q4,"$110,893","$74,314","$36,579",33.0%,0.888,0.785
NEWORLEANS,1998Q1,"$112,152","$74,686","$37,467",33.4%,0.898,0.806
NEWORLEANS,1998Q2,"$113,703","$75,051","$38,651",34.0%,0.910,0.833
NEWORLEANS,1998Q3,"$115,214","$75,458","$39,756",34.5%,0.923,0.858
NEWORLEANS,1998Q4,"$116,664","$75,927","$40,737",34.9%,0.934,0.880
NEWORLEANS,1999Q1,"$117,818","$76,493","$41,325",35.1%,0.943,0.894
NEWORLEANS,1999Q2,"$118,964","$77,052","$41,912",35.2%,0.953,0.908
NEWORLEANS,1999Q3,"$120,299","$77,577","$42,723",35.5%,0.963,0.925
NEWORLEANS,1999Q4,"$121,310","$78,013","$43,297",35.7%,0.971,0.938
NEWORLEANS,2000Q1,"$123,399","$78,181","$45,218",36.6%,0.988,0.976
NEWORLEANS,2000Q2,"$124,883","$78,550","$46,333",37.1%,1.000,1.000
NEWORLEANS,2000Q3,"$125,704","$79,092","$46,612",37.1%,1.007,1.007
NEWORLEANS,2000Q4,"$126,629","$79,935","$46,694",36.9%,1.014,1.012
NEWORLEANS,2001Q1,"$127,650","$81,321","$46,329",36.3%,1.022,1.011
NEWORLEANS,2001Q2,"$129,030","$82,706","$46,324",35.9%,1.033,1.013
NEWORLEANS,2001Q3,"$130,834","$84,061","$46,772",35.7%,1.048,1.026
NEWORLEANS,2001Q4,"$132,832","$85,189","$47,642",35.9%,1.064,1.047
NEWORLEANS,2002Q1,"$134,063","$85,857","$48,205",36.0%,1.074,1.058
NEWORLEANS,2002Q2,"$136,174","$86,322","$49,852",36.6%,1.090,1.096
NEWORLEANS,2002Q3,"$138,078","$86,605","$51,473",37.3%,1.106,1.134
NEWORLEANS,2002Q4,"$140,037","$86,812","$53,225",38.0%,1.121,1.175
NEWORLEANS,2003Q1,"$142,110","$87,098","$55,012",38.7%,1.138,1.217
NEWORLEANS,2003Q2,"$144,205","$87,519","$56,686",39.3%,1.155,1.257
NEWORLEANS,2003Q3,"$146,997","$88,275","$58,722",39.9%,1.177,1.304
NEWORLEANS,2003Q4,"$149,470","$89,525","$59,945",40.1%,1.197,1.334
NEWORLEANS,2004Q1,"$152,839","$91,365","$61,474",40.2%,1.224,1.370
NEWORLEANS,2004Q2,"$156,400","$93,613","$62,787",40.1%,1.252,1.401
NEWORLEANS,2004Q3,"$159,551","$96,024","$63,527",39.8%,1.278,1.420
NEWORLEANS,2004Q4,"$162,417","$98,353","$64,064",39.4%,1.301,1.433
NEWORLEANS,2005Q1,"$164,922","$102,105","$62,817",38.1%,1.321,1.445
NEWORLEANS,2005Q2,"$167,977","$103,331","$64,646",38.5%,1.345,1.472
NEWORLEANS,2005Q3,"$172,218","$103,708","$68,510",39.8%,1.379,1.528
NEWORLEANS,2005Q4,"$180,394","$103,022","$77,372",42.9%,1.445,1.668
NEWORLEANS,2006Q1,"$186,398","$94,623","$91,775",49.2%,1.493,1.754
NEWORLEANS,2006Q2,"$189,503","$92,796","$96,708",51.0%,1.517,1.779
NEWORLEANS,2006Q3,"$191,560","$92,050","$99,510",51.9%,1.534,1.788
NEWORLEANS,2006Q4,"$192,458","$92,469","$99,988",52.0%,1.541,1.784
NEWORLEANS,2007Q1,"$193,830","$98,141","$95,689",49.4%,1.552,1.798
NEWORLEANS,2007Q2,"$193,258","$99,334","$93,924",48.6%,1.548,1.780
NEWORLEANS,2007Q3,"$190,929","$100,600","$90,329",47.3%,1.529,1.725
NEWORLEANS,2007Q4,"$188,169","$102,363","$85,806",45.6%,1.507,1.650
NEWORLEANS,2008Q1,"$185,111","$104,818","$80,293",43.4%,1.482,1.552
NEWORLEANS,2008Q2,"$183,181","$107,742","$75,439",41.2%,1.467,1.466
NEWORLEANS,2008Q3,"$181,659","$110,500","$71,160",39.2%,1.455,1.389
NEWORLEANS,2008Q4,"$178,352","$112,507","$65,846",36.9%,1.428,1.291
NEWORLEANS,2009Q1,"$175,834","$113,343","$62,491",35.5%,1.408,1.230
NEWORLEANS,2009Q2,"$174,735","$113,310","$61,425",35.2%,1.399,1.214
NEWORLEANS,2009Q3,"$174,043","$112,806","$61,237",35.2%,1.394,1.214
NEWORLEANS,2009Q4,"$173,042","$112,249","$60,793",35.1%,1.386,1.209
NEWORLEANS,2010Q1,"$172,542","$111,875","$60,667",35.2%,1.382,1.207
NEWORLEANS,2010Q2,"$171,732","$112,098","$59,634",34.7%,1.375,1.191
NEWORLEANS,2010Q3,"$170,071","$112,846","$57,225",33.6%,1.362,1.147
NEWORLEANS,2010Q4,"$170,509","$114,186","$56,323",33.0%,1.365,1.133
NEWORLEANS,2011Q1,"$169,228","$116,221","$53,007",31.3%,1.355,1.074
NEWORLEANS,2011Q2,"$168,153","$118,353","$49,800",29.6%,1.346,1.013
NEWORLEANS,2011Q3,"$167,454","$120,350","$47,103",28.1%,1.341,0.962
NEWORLEANS,2011Q4,"$167,073","$121,852","$45,221",27.1%,1.338,0.926
NEWORLEANS,2012Q1,"$167,300","$122,564","$44,736",26.7%,1.340,0.917
NEWORLEANS,2012Q2,"$167,596","$122,831","$44,765",26.7%,1.342,0.920
NEWORLEANS,2012Q3,"$168,495","$122,949","$45,546",27.0%,1.349,0.939
NEWORLEANS,2012Q4,"$170,625","$123,265","$47,360",27.8%,1.366,0.979
NEWORLEANS,2013Q1,"$173,940","$124,051","$49,890",28.7%,1.393,1.034
NEWORLEANS,2013Q2,"$176,617","$125,075","$51,542",29.2%,1.414,1.071
NEWORLEANS,2013Q3,"$179,015","$126,102","$52,913",29.6%,1.433,1.101
NEWORLEANS,2013Q4,"$180,110","$126,862","$53,247",29.6%,1.442,1.110
NEWORLEANS,2014Q1,"$181,849","$127,138","$54,711",30.1%,1.456,1.142
NEWORLEANS,2014Q2,"$182,436","$127,159","$55,277",30.3%,1.461,1.155
NEWORLEANS,2014Q3,"$184,951","$127,115","$57,835",31.3%,1.481,1.210
NEWORLEANS,2014Q4,"$187,095","$127,227","$59,868",32.0%,1.498,1.255
NEWORLEANS,2015Q1,"$189,230","$127,648","$61,582",32.5%,1.515,1.293
NEWORLEANS,2015Q2,"$192,667","$128,268","$64,399",33.4%,1.543,1.354
NEWORLEANS,2015Q3,"$195,366","$128,897","$66,469",34.0%,1.564,1.399
NEWORLEANS,2015Q4,"$197,578","$129,350","$68,228",34.5%,1.582,1.439
NEWORLEANS,2016Q1,"$199,837","$129,564","$70,273",35.2%,1.600,1.486
NEWORLEANS,2016Q2,"$202,663","$129,481","$73,182",36.1%,1.623,1.549
NEWORLEANS,2016Q3,"$203,343","$129,318","$74,025",36.4%,1.628,1.569
NEWORLEANS,2016Q4,"$206,725","$129,236","$77,489",37.5%,1.655,1.643
NEWORLEANS,2017Q1,"$208,632","$129,249","$79,383",38.0%,1.671,1.681
NEWORLEANS,2017Q2,"$209,451","$129,574","$79,877",38.1%,1.677,1.692
NEWORLEANS,2017Q3,"$212,636","$130,046","$82,591",38.8%,1.703,1.751
NEWORLEANS,2017Q4,"$214,621","$130,597","$84,024",39.1%,1.719,1.783
NEWORLEANS,2018Q1,"$215,808","$132,743","$83,065",38.5%,1.728,1.764
NEWORLEANS,2018Q2,"$215,509","$135,002","$80,507",37.4%,1.726,1.712
NEWYORK,1984Q4,"$138,361","$78,247","$60,114",43.4%,0.457,0.350
NEWYORK,1985Q1,"$144,794","$79,380","$65,414",45.2%,0.478,0.381
NEWYORK,1985Q2,"$151,652","$80,595","$71,057",46.9%,0.501,0.415
NEWYORK,1985Q3,"$159,582","$81,795","$77,787",48.7%,0.527,0.455
NEWYORK,1985Q4,"$167,549","$82,896","$84,652",50.5%,0.553,0.496
NEWYORK,1986Q1,"$176,730","$83,894","$92,835",52.5%,0.583,0.546
NEWYORK,1986Q2,"$186,985","$84,685","$102,300",54.7%,0.617,0.602
NEWYORK,1986Q3,"$197,862","$85,374","$112,488",56.9%,0.653,0.663
NEWYORK,1986Q4,"$209,794","$86,011","$123,783",59.0%,0.692,0.731
NEWYORK,1987Q1,"$219,873","$86,540","$133,333",60.6%,0.726,0.788
NEWYORK,1987Q2,"$230,329","$87,347","$142,982",62.1%,0.760,0.846
NEWYORK,1987Q3,"$237,563","$88,439","$149,123",62.8%,0.784,0.883
NEWYORK,1987Q4,"$242,424","$89,939","$152,484",62.9%,0.800,0.905
NEWYORK,1988Q1,"$244,305","$92,003","$152,301",62.3%,0.806,0.906
NEWYORK,1988Q2,"$245,038","$94,170","$150,868",61.6%,0.809,0.898
NEWYORK,1988Q3,"$244,671","$96,248","$148,423",60.7%,0.808,0.885
NEWYORK,1988Q4,"$244,362","$97,948","$146,415",59.9%,0.807,0.874
NEWYORK,1989Q1,"$243,967","$99,167","$144,800",59.4%,0.805,0.866
NEWYORK,1989Q2,"$241,440","$99,869","$141,571",58.6%,0.797,0.847
NEWYORK,1989Q3,"$236,936","$100,437","$136,499",57.6%,0.782,0.817
NEWYORK,1989Q4,"$236,000","$101,162","$134,838",57.1%,0.779,0.807
NEWYORK,1990Q1,"$234,216","$102,004","$132,212",56.4%,0.773,0.790
NEWYORK,1990Q2,"$230,222","$103,413","$126,809",55.1%,0.760,0.757
NEWYORK,1990Q3,"$224,281","$104,922","$119,359",53.2%,0.740,0.713
NEWYORK,1990Q4,"$219,728","$106,307","$113,421",51.6%,0.725,0.678
NEWYORK,1991Q1,"$214,539","$107,427","$107,113",49.9%,0.708,0.641
NEWYORK,1991Q2,"$211,810","$108,322","$103,488",48.9%,0.699,0.620
NEWYORK,1991Q3,"$214,645","$109,175","$105,470",49.1%,0.708,0.633
NEWYORK,1991Q4,"$216,005","$110,138","$105,868",49.0%,0.713,0.636
NEWYORK,1992Q1,"$216,574","$111,591","$104,984",48.5%,0.715,0.634
NEWYORK,1992Q2,"$217,385","$112,843","$104,542",48.1%,0.718,0.632
NEWYORK,1992Q3,"$217,172","$114,066","$103,107",47.5%,0.717,0.624
NEWYORK,1992Q4,"$217,635","$115,166","$102,469",47.1%,0.718,0.619
NEWYORK,1993Q1,"$219,545","$115,764","$103,781",47.3%,0.725,0.625
NEWYORK,1993Q2,"$220,433","$116,576","$103,856",47.1%,0.728,0.625
NEWYORK,1993Q3,"$220,809","$117,311","$103,498",46.9%,0.729,0.623
NEWYORK,1993Q4,"$221,879","$117,977","$103,902",46.8%,0.732,0.625
NEWYORK,1994Q1,"$222,805","$118,587","$104,219",46.8%,0.735,0.628
NEWYORK,1994Q2,"$225,332","$119,315","$106,018",47.0%,0.744,0.639
NEWYORK,1994Q3,"$226,654","$120,284","$106,370",46.9%,0.748,0.642
NEWYORK,1994Q4,"$226,972","$121,638","$105,334",46.4%,0.749,0.637
NEWYORK,1995Q1,"$227,551","$123,663","$103,887",45.7%,0.751,0.631
NEWYORK,1995Q2,"$226,962","$125,651","$101,311",44.6%,0.749,0.617
NEWYORK,1995Q3,"$227,049","$127,536","$99,513",43.8%,0.749,0.607
NEWYORK,1995Q4,"$227,879","$129,042","$98,837",43.4%,0.752,0.604
NEWYORK,1996Q1,"$229,239","$129,850","$99,389",43.4%,0.757,0.608
NEWYORK,1996Q2,"$230,290","$130,434","$99,856",43.4%,0.760,0.611
NEWYORK,1996Q3,"$230,280","$130,921","$99,359",43.1%,0.760,0.610
NEWYORK,1996Q4,"$231,496","$131,569","$99,926",43.2%,0.764,0.614
NEWYORK,1997Q1,"$233,049","$132,560","$100,489",43.1%,0.769,0.619
NEWYORK,1997Q2,"$234,389","$133,781","$100,609",42.9%,0.774,0.621
NEWYORK,1997Q3,"$237,061","$135,044","$102,017",43.0%,0.782,0.631
NEWYORK,1997Q4,"$239,617","$136,157","$103,460",43.2%,0.791,0.642
NEWYORK,1998Q1,"$244,102","$137,084","$107,018",43.8%,0.806,0.667
NEWYORK,1998Q2,"$248,741","$137,695","$111,047",44.6%,0.821,0.694
NEWYORK,1998Q3,"$253,728","$138,227","$115,501",45.5%,0.837,0.724
NEWYORK,1998Q4,"$258,068","$138,826","$119,242",46.2%,0.852,0.749
NEWYORK,1999Q1,"$262,023","$139,680","$122,343",46.7%,0.865,0.771
NEWYORK,1999Q2,"$269,401","$140,620","$128,782",47.8%,0.889,0.813
NEWYORK,1999Q3,"$277,542","$141,678","$135,864",49.0%,0.916,0.859
NEWYORK,1999Q4,"$284,863","$142,816","$142,047",49.9%,0.940,0.899
NEWYORK,2000Q1,"$292,868","$143,599","$149,269",51.0%,0.967,0.943
NEWYORK,2000Q2,"$302,967","$144,983","$157,984",52.1%,1.000,1.000
NEWYORK,2000Q3,"$312,381","$146,572","$165,809",53.1%,1.031,1.052
NEWYORK,2000Q4,"$320,483","$148,365","$172,118",53.7%,1.058,1.095
NEWYORK,2001Q1,"$330,350","$151,012","$179,337",54.3%,1.090,1.150
NEWYORK,2001Q2,"$338,953","$152,916","$186,037",54.9%,1.119,1.196
NEWYORK,2001Q3,"$348,956","$154,652","$194,304",55.7%,1.152,1.252
NEWYORK,2001Q4,"$358,871","$156,146","$202,725",56.5%,1.185,1.308
NEWYORK,2002Q1,"$365,362","$156,906","$208,456",57.1%,1.206,1.343
NEWYORK,2002Q2,"$377,776","$157,939","$219,836",58.2%,1.247,1.418
NEWYORK,2002Q3,"$396,111","$158,824","$237,287",59.9%,1.307,1.532
NEWYORK,2002Q4,"$413,347","$159,553","$253,794",61.4%,1.364,1.640
NEWYORK,2003Q1,"$428,056","$160,414","$267,642",62.5%,1.413,1.733
NEWYORK,2003Q2,"$437,972","$161,163","$276,809",63.2%,1.446,1.794
NEWYORK,2003Q3,"$447,675","$162,403","$285,271",63.7%,1.478,1.849
NEWYORK,2003Q4,"$462,876","$164,513","$298,362",64.5%,1.528,1.935
NEWYORK,2004Q1,"$478,954","$167,565","$311,390",65.0%,1.581,2.018
NEWYORK,2004Q2,"$495,409","$171,500","$323,909",65.4%,1.635,2.100
NEWYORK,2004Q3,"$513,176","$175,622","$337,553",65.8%,1.694,2.188
